0	1	2
0	2	2
0	3	3
0	4	2
0	6	5
0	7	5
0	9	2
0	10	5
0	12	2
0	13	2
0	14	2
0	15	5
0	16	4
0	19	2
0	21	3
0	23	2
0	25	4
0	27	4
0	28	2
0	29	5
0	30	5
0	33	5
1	35	1
1	22	7
1	36	1
1	37	5
1	38	2
1	41	1
1	44	1
1	45	2
1	46	4
1	14	6
1	48	2
1	49	5
1	50	1
1	52	2
1	54	2
1	55	4
1	58	2
1	24	5
1	17	5
1	62	4
1	64	7
1	1	4
1	18	0
1	65	5
1	66	7
1	67	2
1	68	2
1	69	3
1	71	1
1	73	1
1	74	5
1	76	4
1	77	3
1	81	3
1	82	1
1	83	5
1	87	3
1	89	3
1	21	5
1	90	3
1	91	4
1	92	5
1	93	6
1	34	3
1	94	0
1	7	2
1	95	4
1	96	0
1	97	4
1	99	1
1	100	7
2	101	2
2	104	2
2	105	5
2	106	3
2	51	5
2	107	5
2	108	0
2	111	4
2	112	3
2	113	2
2	114	2
2	116	7
2	119	5
2	120	5
2	19	2
2	124	5
2	125	5
2	126	2
2	127	3
2	129	5
2	131	1
2	132	2
2	18	3
2	13	3
2	135	3
2	136	5
2	4	3
2	138	2
2	140	4
2	141	5
2	142	5
2	42	5
2	92	2
2	145	2
2	146	4
2	93	4
2	147	3
2	6	3
2	148	3
2	8	5
3	149	2
3	150	3
3	151	3
3	152	7
3	155	3
3	156	5
3	158	5
3	159	2
3	161	3
3	163	5
3	98	5
3	5	0
3	97	2
3	3	2
3	169	3
3	170	2
3	139	5
3	172	3
3	173	2
3	50	5
3	174	0
3	82	4
3	176	5
3	22	4
3	0	0
3	11	5
3	178	3
3	179	3
3	92	3
3	53	6
3	185	7
3	57	5
3	15	4
3	187	5
3	90	5
3	188	3
3	189	5
3	49	3
3	32	0
3	79	5
3	191	0
3	91	5
3	193	5
3	196	0
3	54	2
3	81	3
4	197	2
4	198	4
4	201	3
4	203	5
4	205	2
4	206	2
4	189	3
4	208	3
4	5	0
4	209	3
4	210	3
4	30	3
4	21	0
4	9	3
4	94	4
4	82	3
4	213	2
4	214	2
4	54	3
4	181	3
4	215	7
4	27	3
4	157	0
4	50	5
4	217	3
4	219	2
4	221	3
4	223	2
4	224	3
4	226	2
4	139	2
4	227	3
4	194	2
4	25	6
4	230	2
4	232	5
4	68	5
4	233	3
4	234	3
4	235	2
4	158	3
4	81	3
4	179	5
4	236	2
4	237	2
4	238	5
4	155	3
4	239	3
4	15	3
4	240	2
5	242	3
5	244	2
5	245	2
5	246	3
5	247	5
5	2	3
5	7	3
5	70	2
5	248	3
5	249	3
5	250	3
5	251	3
5	252	2
5	8	3
5	253	3
5	255	2
5	256	2
5	257	3
5	123	5
5	3	3
5	36	2
5	55	3
5	259	3
5	34	5
5	260	5
5	261	5
5	6	2
5	26	3
5	263	3
5	265	5
5	267	3
5	268	5
6	194	4
6	269	4
6	23	0
6	21	5
6	47	5
6	82	3
6	30	3
6	18	2
6	13	5
6	270	5
6	27	0
6	11	3
6	190	5
6	9	5
6	271	4
6	213	2
7	272	5
7	64	5
7	273	3
7	14	3
7	27	6
7	59	0
7	274	1
7	92	5
7	6	2
7	18	5
7	31	0
7	275	7
7	276	3
7	91	6
8	179	5
8	22	3
8	97	2
8	94	4
8	278	4
8	11	2
8	17	5
8	57	5
8	6	2
8	21	4
8	196	4
8	280	5
8	159	4
9	281	5
9	184	5
9	282	5
9	283	5
9	5	3
9	21	5
9	285	5
9	9	5
9	179	2
9	10	2
9	242	2
9	15	2
9	30	2
9	190	3
9	24	3
9	288	5
9	48	2
9	165	5
9	278	2
9	289	5
9	3	2
9	92	3
9	90	2
9	32	2
9	98	2
9	8	1
9	50	5
9	262	3
9	17	2
9	159	4
9	175	5
9	291	2
9	6	5
9	87	3
9	18	2
9	148	3
10	91	0
10	9	3
10	191	4
10	90	2
10	17	2
10	18	5
10	262	0
10	21	5
10	0	4
10	278	2
10	31	5
10	29	4
10	24	2
10	98	6
10	77	2
10	186	5
10	30	2
10	57	5
10	190	3
10	184	2
10	194	0
11	270	3
11	13	5
11	15	2
11	6	1
11	82	4
11	17	3
11	25	4
11	32	4
11	291	0
11	77	0
11	27	1
11	14	1
11	223	2
12	293	2
12	294	2
12	295	5
12	296	2
12	297	7
12	288	5
12	298	5
12	299	5
12	300	5
12	301	5
12	302	5
12	303	5
12	304	0
12	268	7
12	308	7
12	259	3
12	310	3
12	311	2
12	244	4
12	113	2
12	312	2
12	313	2
12	292	5
12	117	5
12	4	3
13	30	5
13	190	5
13	94	6
13	15	0
13	179	2
13	57	4
13	196	2
13	175	2
13	9	2
13	17	1
13	92	0
13	21	2
13	54	4
13	31	2
13	48	0
13	291	2
13	97	0
13	23	0
13	77	1
13	194	0
13	165	3
14	315	5
14	317	3
14	11	5
14	319	5
14	81	5
14	323	3
14	194	3
14	183	5
14	0	2
14	13	5
14	326	5
14	327	3
14	37	3
14	328	3
14	270	2
14	293	5
15	46	5
15	329	5
16	176	4
16	332	2
16	334	1
16	8	2
16	17	4
16	90	2
16	132	5
16	34	3
16	173	2
16	49	3
16	24	3
16	0	4
16	6	3
16	338	2
16	27	3
16	31	3
17	340	6
17	63	3
17	341	0
17	343	1
17	95	5
17	347	5
17	76	2
17	58	4
17	45	4
17	350	5
17	352	3
17	353	4
17	354	7
17	355	3
17	356	3
17	357	3
17	182	3
17	358	6
17	120	5
17	359	6
17	25	2
17	88	7
17	360	1
17	361	7
17	31	3
17	43	3
17	365	6
17	366	0
17	367	6
17	369	4
17	370	4
17	373	3
17	23	4
17	375	4
17	376	3
17	324	1
17	167	7
17	28	1
17	378	2
17	268	0
17	67	2
17	380	6
17	381	4
17	69	7
17	84	3
17	37	2
17	152	0
17	210	4
17	7	1
17	187	1
17	34	7
17	9	4
17	385	1
17	153	3
17	387	0
17	46	6
17	388	2
17	390	6
17	391	2
17	392	5
17	161	2
17	393	3
17	93	1
17	186	7
17	394	3
17	59	0
17	396	3
17	90	6
17	397	6
17	398	1
17	209	3
17	399	2
17	42	4
17	401	2
17	4	6
17	8	4
17	402	6
17	47	4
17	403	5
17	126	5
17	65	0
17	132	4
17	39	1
17	406	6
17	87	5
17	32	2
17	319	0
17	73	5
17	410	4
17	50	7
17	55	0
17	413	1
18	414	3
18	86	3
18	415	1
18	416	5
18	417	4
18	418	3
18	419	5
18	420	4
18	421	5
18	422	3
18	187	3
18	7	5
18	425	2
18	426	5
18	427	5
18	130	3
18	34	3
18	90	2
18	166	3
18	91	3
18	431	5
18	434	1
18	278	5
18	436	3
18	437	6
18	123	2
18	438	4
18	54	5
18	439	5
18	440	4
18	50	3
18	25	5
18	23	3
18	10	5
18	5	3
18	445	2
18	13	3
18	446	3
18	447	5
18	255	5
18	450	3
18	196	5
18	452	2
18	453	5
18	78	2
18	9	3
18	454	5
18	31	5
18	455	2
18	456	5
18	55	5
18	457	5
18	458	2
18	459	5
18	284	5
18	460	3
18	4	3
18	265	5
18	40	5
18	79	5
18	462	5
18	87	5
